CDU_ID,GEO_CODE,GEO_LABEL,Deprivation,Households_not_deprived,Total_methods_travel ,Work_from_home,Public_transport,Car_or_van,Other_travel
10622,E02000710,Merton 022,3208,1094,3827,307,1770,1283,467
10623,E02000711,Merton 023,3140,1046,3866,361,1845,1126,534
10624,E02000712,Merton 024,3328,1124,4052,292,1676,1524,560
10625,E02000713,Merton 025,2800,1253,3984,300,1307,1850,527
10626,E02000714,Newham 001,2733,744,3758,215,2433,702,408
10627,E02000715,Newham 002,2234,416,2610,200,1537,601,272
10628,E02000716,Newham 003,2320,616,2953,217,1783,660,293
10629,E02000717,Newham 004,2400,508,3131,228,1974,635,294
10630,E02000718,Newham 005,2210,449,2277,142,1262,597,276
10631,E02000719,Newham 006,2937,756,3919,281,2554,643,441
10632,E02000720,Newham 007,2220,653,3260,280,1844,707,429
10633,E02000721,Newham 008,2737,553,3713,263,2229,752,469
10634,E02000722,Newham 009,2943,876,4209,246,2971,561,431
10635,E02000723,Newham 010,2737,562,4316,355,2577,843,541
10636,E02000724,Newham 011,2434,531,3618,258,2153,767,440
10637,E02000725,Newham 012,3671,1079,4871,293,3635,468,475
10638,E02000726,Newham 013,3666,1017,4895,274,3569,601,451
10639,E02000727,Newham 014,2251,448,3429,280,2142,556,451
10640,E02000728,Newham 015,2237,528,3393,235,2114,693,351
10641,E02000729,Newham 016,2207,608,3214,217,1992,641,364
10642,E02000730,Newham 017,2443,490,3646,291,2253,647,455
10643,E02000731,Newham 018,2825,569,4243,355,2713,714,461
10644,E02000732,Newham 019,2326,405,2771,207,1656,570,338
10645,E02000733,Newham 020,3465,909,4281,225,2980,700,376
10646,E02000734,Newham 021,2672,635,3227,191,2196,544,296
10647,E02000735,Newham 022,2355,491,3107,228,2088,492,299
10648,E02000736,Newham 023,2574,609,3178,242,1769,796,371
10649,E02000737,Newham 024,3068,808,3758,235,2126,906,491
10650,E02000738,Newham 025,2563,745,3612,234,2098,859,421
10651,E02000739,Newham 026,2286,499,3100,174,2063,545,318
10652,E02000740,Newham 027,2556,631,2961,188,2000,504,269
10653,E02000741,Newham 028,2767,718,3458,245,2085,716,412
10654,E02000742,Newham 029,2498,607,3115,216,1699,834,366
10655,E02000743,Newham 030,2893,548,3125,213,2016,601,295
10656,E02000744,Newham 031,2942,688,3344,198,2023,696,427
10657,E02000745,Newham 032,2782,765,3783,215,2184,968,416
10658,E02000746,Newham 033,2574,711,3162,234,1891,720,317
10659,E02000747,Newham 034,4371,1102,5396,312,3853,761,470
10660,E02000748,Newham 035,2230,677,2884,216,1641,714,313
10661,E02000749,Newham 036,3022,704,3282,196,1956,730,400
10662,E02000750,Newham 037,4370,1701,5788,395,3909,1000,484
10663,E02000751,Redbridge 001,4277,2297,5290,685,2141,1914,550
10664,E02000752,Redbridge 002,2864,786,2829,224,1104,1188,313
10665,E02000753,Redbridge 003,2420,856,2651,195,1112,1089,255
10666,E02000754,Redbridge 004,2607,1221,3277,298,1517,1135,327
10667,E02000755,Redbridge 005,2151,939,2598,219,968,1141,270
10668,E02000756,Redbridge 006,4966,1982,6115,585,2423,2537,570
10669,E02000757,Redbridge 007,4969,2520,6540,592,3219,2016,713
10670,E02000758,Redbridge 008,2159,793,2598,256,852,1220,270
10671,E02000759,Redbridge 009,4703,2163,6113,547,2819,2071,676
10672,E02000760,Redbridge 010,2613,907,3027,312,1169,1215,331
10673,E02000762,Redbridge 012,2087,839,2887,251,1245,1098,293
10674,E02000763,Redbridge 013,2385,853,3135,288,1416,1141,290
10675,E02000764,Redbridge 014,5435,2693,6464,597,3440,1839,588
10676,E02000765,Redbridge 015,2190,822,2834,241,1382,941,270
10677,E02000767,Redbridge 017,2620,985,3407,267,1589,1194,357
10678,E02000768,Redbridge 018,2240,1183,2944,286,1370,975,313
10679,E02000769,Redbridge 019,5160,2140,6473,472,2802,2455,744
10680,E02000770,Redbridge 020,2425,834,3204,255,1497,1113,339
10681,E02000772,Redbridge 022,2565,875,3245,254,1507,1089,395
10682,E02000773,Redbridge 023,2819,1033,3893,306,1801,1354,432
10683,E02000774,Redbridge 024,2208,685,2949,234,1394,997,324
10684,E02000776,Redbridge 026,2031,719,2682,229,1275,844,334
10685,E02000777,Redbridge 027,2365,1093,2957,311,1270,1030,346
10686,E02000779,Redbridge 029,2753,709,3206,260,1735,846,365
10687,E02000780,Redbridge 030,4443,1151,5564,464,2764,1625,711
10688,E02000781,Redbridge 031,4257,1544,5722,522,2379,2265,556
10689,E02000782,Redbridge 032,2851,668,3283,245,1773,880,385
10690,E02000783,Redbridge 033,2250,574,2437,201,1190,773,273
10691,E02000784,Richmond upon Thames 001,4296,2501,5177,975,2287,960,955
10692,E02000785,Richmond upon Thames 002,4304,2806,5324,891,2514,1132,787
10693,E02000786,Richmond upon Thames 003,4941,2940,6073,879,2951,1145,1098
10694,E02000787,Richmond upon Thames 004,4800,2608,5922,745,2674,1502,1001
10695,E02000788,Richmond upon Thames 005,3666,2282,4756,730,2044,1071,911
10696,E02000789,Richmond upon Thames 006,2966,1751,3402,550,1684,712,456
10697,E02000790,Richmond upon Thames 007,2609,1780,3556,520,1578,926,532
